日志将保存到: ../maps_100samples/Town01/carla_script_20250305_224858_Town01.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 59:  X=284.08, Y=192.45, Z=0.11
Iteration 60:  X=390.27, Y=121.64, Z=0.11
Iteration 61:  X=240.68, Y=204.76, Z=0.11
Iteration 62:  X=159.68, Y=332.75, Z=0.11
Iteration 63:  X=123.11, Y=136.19, Z=0.11
Iteration 64:  X=83.49, Y=219.12, Z=0.11
Iteration 65:  X=39.74, Y=320.56, Z=0.11
Iteration 66:  X=166.35, Y=322.02, Z=0.11
Iteration 67:  X=98.11, Y=100.49, Z=0.13
Iteration 68:  X=25.61, Y=-5.03, Z=0.11
Iteration 69:  X=388.49, Y=187.30, Z=0.11
Iteration 70:  X=319.01, Y=335.16, Z=0.11
Iteration 71:  X=-4.23, Y=228.14, Z=0.11
Iteration 72:  X=97.79, Y=295.20, Z=0.11
Iteration 73:  X=388.27, Y=-4.21, Z=0.11
Iteration 74:  X=297.99, Y=-6.06, Z=0.11
Iteration 75:  X=170.85, Y=50.31, Z=0.11
Iteration 76:  X=49.52, Y=4.63, Z=0.11
Iteration 77:  X=156.93, Y=189.21, Z=0.11
Iteration 78:  X=148.99, Y=4.94, Z=0.11
Iteration 79:  X=84.94, Y=182.62, Z=0.11
Iteration 80:  X=133.82, Y=51.95, Z=0.10
Iteration 81:  X=342.40, Y=60.12, Z=0.11
Iteration 82:  X=212.73, Y=-4.32, Z=0.11
Iteration 83:  X=352.67, Y=334.04, Z=0.11
Iteration 84:  X=343.77, Y=62.68, Z=0.11
Iteration 85:  X=6.59, Y=84.63, Z=0.11
Iteration 86:  X=177.71, Y=124.63, Z=0.11
Iteration 87:  X=278.17, Y=333.78, Z=0.11
Iteration 88:  X=398.64, Y=90.07, Z=0.11
Iteration 89:  X=100.31, Y=204.43, Z=0.11
Iteration 90:  X=239.45, Y=126.97, Z=0.11
Iteration 91:  X=45.11, Y=335.26, Z=0.11
Iteration 92:  X=364.58, Y=-5.73, Z=0.11
Iteration 93:  X=85.41, Y=14.85, Z=0.11
Iteration 94:  X=-5.71, Y=146.76, Z=0.11
Iteration 95:  X=-4.45, Y=179.38, Z=0.11
Iteration 96:  X=387.17, Y=261.02, Z=0.11
Iteration 97:  X=330.07, Y=109.18, Z=0.11
Iteration 98:  X=227.24, Y=139.33, Z=0.22
Iteration 99:  X=236.43, Y=322.32, Z=0.11
Iteration 100:  X=341.11, Y=155.67, Z=0.11
Iteration 101:  X=342.27, Y=221.33, Z=0.12
Iteration 102:  X=-6.92, Y=138.61, Z=0.11
Iteration 103:  X=321.76, Y=202.21, Z=0.11
Iteration 104:  X=387.03, Y=291.20, Z=0.11
Iteration 105:  X=4.92, Y=241.71, Z=0.11
Iteration 106:  X=230.08, Y=138.53, Z=0.11
Iteration 107:  X=-5.21, Y=22.50, Z=0.11
Iteration 108:  X=287.68, Y=135.72, Z=0.11
Iteration 109:  X=86.19, Y=212.42, Z=0.11
Iteration 110:  X=267.17, Y=201.43, Z=0.11
Iteration 111:  X=-4.73, Y=102.21, Z=0.11
Iteration 112:  X=125.90, Y=5.55, Z=0.11
Iteration 113:  X=330.16, Y=186.26, Z=0.11
Iteration 114:  X=399.88, Y=229.21, Z=0.11
Iteration 115:  X=401.61, Y=307.23, Z=0.11
Iteration 116:  X=330.58, Y=22.91, Z=0.11
Iteration 117:  X=85.34, Y=173.12, Z=0.11
Iteration 118:  X=286.80, Y=65.23, Z=0.11
Iteration 119:  X=331.63, Y=173.05, Z=0.11
Iteration 120:  X=98.28, Y=289.92, Z=0.11
Iteration 121:  X=48.97, Y=324.30, Z=0.11
Iteration 122:  X=207.42, Y=64.17, Z=0.11
Iteration 123:  X=133.96, Y=125.29, Z=0.11
Iteration 124:  X=390.11, Y=307.70, Z=0.11
Iteration 125:  X=144.73, Y=202.34, Z=0.11
Iteration 126:  X=398.53, Y=108.17, Z=0.11
Iteration 127:  X=328.66, Y=51.91, Z=0.11
Iteration 128:  X=253.33, Y=321.51, Z=0.11
Iteration 129:  X=265.69, Y=192.60, Z=0.11
Iteration 130:  X=186.57, Y=205.03, Z=0.11
Iteration 131:  X=224.88, Y=53.30, Z=0.11
Iteration 132:  X=159.52, Y=63.75, Z=0.11
Iteration 133:  X=390.16, Y=135.73, Z=0.15
Iteration 134:  X=98.11, Y=273.90, Z=0.11
Iteration 135:  X=83.14, Y=151.57, Z=0.11
Iteration 136:  X=398.67, Y=137.39, Z=0.11
Iteration 137:  X=-4.60, Y=207.66, Z=0.11
Iteration 138:  X=98.26, Y=273.81, Z=0.11
Iteration 139:  X=214.81, Y=4.39, Z=0.11
Iteration 140:  X=6.09, Y=70.84, Z=0.11
Iteration 141:  X=6.57, Y=286.36, Z=0.11
Iteration 142:  X=83.74, Y=125.95, Z=0.11
Iteration 143:  X=399.11, Y=114.29, Z=0.11
Iteration 144:  X=399.10, Y=51.34, Z=0.13
Iteration 145:  X=125.19, Y=53.26, Z=0.08
Iteration 146:  X=221.31, Y=4.64, Z=0.19
Iteration 147:  X=341.20, Y=35.43, Z=0.11
Iteration 148:  X=388.97, Y=180.38, Z=0.11
Iteration 149:  X=137.74, Y=127.10, Z=0.11
Iteration 150:  X=84.41, Y=210.62, Z=0.11
Iteration 151:  X=216.83, Y=-5.58, Z=0.11
Iteration 152:  X=259.62, Y=127.17, Z=0.11
Iteration 153:  X=-3.94, Y=101.02, Z=0.11
Iteration 154:  X=343.00, Y=101.12, Z=0.11
Iteration 155:  X=150.87, Y=25.28, Z=0.11
Iteration 156:  X=369.11, Y=4.63, Z=0.11
Iteration 157:  X=143.82, Y=335.25, Z=0.11
Iteration 158:  X=400.38, Y=152.76, Z=0.11
Iteration 159:  X=322.31, Y=64.51, Z=0.11
Iteration 160:  X=362.93, Y=332.77, Z=0.11
Iteration 161:  X=133.68, Y=201.41, Z=0.11
Iteration 162:  X=270.18, Y=51.64, Z=0.12
Iteration 163:  X=253.57, Y=6.76, Z=0.11
Iteration 164:  X=330.75, Y=153.21, Z=0.11
Iteration 165:  X=151.15, Y=20.79, Z=0.11
Iteration 166:  X=224.36, Y=322.31, Z=0.11
Iteration 167:  X=302.75, Y=324.31, Z=0.11
Iteration 168:  X=17.95, Y=-6.31, Z=0.11
Iteration 169:  X=94.57, Y=84.18, Z=0.11
Iteration 170:  X=-6.76, Y=52.56, Z=0.11
Iteration 171:  X=343.80, Y=105.75, Z=0.11
Iteration 172:  X=298.42, Y=201.85, Z=0.11
Iteration 173:  X=176.76, Y=124.47, Z=0.11
Iteration 174:  X=235.85, Y=6.73, Z=0.11
Iteration 175:  X=166.46, Y=332.73, Z=0.11
Iteration 176:  X=389.60, Y=228.50, Z=0.11
Iteration 177:  X=16.22, Y=6.84, Z=0.11
Iteration 178:  X=308.61, Y=322.84, Z=0.11
Iteration 179:  X=247.27, Y=205.13, Z=0.11
Iteration 180:  X=84.16, Y=150.61, Z=0.11
Iteration 181:  X=139.75, Y=320.88, Z=0.11
Iteration 182:  X=253.11, Y=189.73, Z=0.11
Iteration 183:  X=-4.28, Y=110.41, Z=0.11
Iteration 184:  X=200.34, Y=6.52, Z=0.11
Iteration 185:  X=159.37, Y=61.84, Z=0.11
Iteration 186:  X=280.59, Y=335.06, Z=0.11
Iteration 187:  X=304.75, Y=-4.69, Z=0.11
Iteration 188:  X=30.29, Y=323.02, Z=0.11
Iteration 189:  X=94.66, Y=168.80, Z=0.11
Iteration 190:  X=264.26, Y=202.85, Z=0.11
Iteration 191:  X=342.73, Y=17.21, Z=0.11
Iteration 192:  X=64.27, Y=322.69, Z=0.12
Iteration 193:  X=84.40, Y=214.72, Z=0.11
Iteration 194:  X=164.96, Y=64.21, Z=0.11
Iteration 195:  X=342.62, Y=162.00, Z=0.11
Iteration 196:  X=303.20, Y=323.36, Z=0.11
Iteration 197:  X=83.24, Y=16.73, Z=0.11
Iteration 198:  X=335.28, Y=-6.88, Z=0.11
Iteration 199:  X=388.38, Y=210.76, Z=0.11
Iteration 200:  X=74.86, Y=323.38, Z=0.11

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=-6.92, Max=401.61

所有生成点的 Y 坐标范围: Min=-7.08, Max=335.26

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
