日志将保存到: ../maps_100samples/Town10HD/carla_script_20250306_000941_Town10HD.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 51:  X=-80.20, Y=-75.77, Z=0.16
Iteration 52:  X=114.12, Y=-36.80, Z=0.16
Iteration 53:  X=38.63, Y=77.64, Z=0.16
Iteration 54:  X=-73.88, Y=146.14, Z=0.16
Iteration 55:  X=81.94, Y=116.71, Z=0.16
Iteration 56:  X=31.69, Y=53.74, Z=0.16
Iteration 57:  X=116.62, Y=46.13, Z=0.16
Iteration 58:  X=-121.54, Y=67.12, Z=0.16
Iteration 59:  X=28.28, Y=3.12, Z=0.16
Iteration 60:  X=74.42, Y=6.57, Z=0.16
Iteration 61:  X=-97.88, Y=80.49, Z=0.16
Iteration 62:  X=17.49, Y=146.92, Z=0.16
Iteration 63:  X=113.59, Y=-47.24, Z=0.16
Iteration 64:  X=54.61, Y=77.80, Z=0.16
Iteration 65:  X=-118.57, Y=-29.45, Z=0.16
Iteration 66:  X=-41.60, Y=-76.31, Z=0.16
Iteration 67:  X=92.27, Y=86.54, Z=0.16
Iteration 68:  X=100.66, Y=134.72, Z=0.16
Iteration 69:  X=-34.82, Y=-20.57, Z=0.16
Iteration 70:  X=-26.17, Y=34.40, Z=0.16
Iteration 71:  X=91.61, Y=-8.41, Z=0.16
Iteration 72:  X=68.44, Y=3.55, Z=0.16
Iteration 73:  X=-57.51, Y=-25.03, Z=0.16
Iteration 74:  X=-123.93, Y=37.39, Z=0.16
Iteration 75:  X=82.48, Y=-46.09, Z=0.16
Iteration 76:  X=31.20, Y=-50.93, Z=0.16
Iteration 77:  X=-68.48, Y=-52.44, Z=0.16
Iteration 78:  X=-90.76, Y=-70.73, Z=0.16
Iteration 79:  X=-124.18, Y=80.48, Z=0.16
Iteration 80:  X=116.30, Y=49.02, Z=0.16
Iteration 81:  X=-75.38, Y=-77.95, Z=0.16
Iteration 82:  X=-96.59, Y=-22.28, Z=0.16
Iteration 83:  X=70.29, Y=37.30, Z=0.16
Iteration 84:  X=-95.86, Y=95.18, Z=0.16
Iteration 85:  X=-25.34, Y=34.43, Z=0.16
Iteration 86:  X=-35.87, Y=-77.16, Z=0.16
Iteration 87:  X=11.39, Y=147.89, Z=0.16
Iteration 88:  X=-60.78, Y=74.19, Z=0.17
Iteration 89:  X=-83.04, Y=5.01, Z=0.16
Iteration 90:  X=96.81, Y=136.04, Z=0.16
Iteration 91:  X=77.91, Y=117.67, Z=0.16
Iteration 92:  X=-119.66, Y=68.95, Z=0.16
Iteration 93:  X=-30.99, Y=123.19, Z=0.16
Iteration 94:  X=78.17, Y=-74.11, Z=0.16
Iteration 95:  X=-81.49, Y=34.02, Z=0.16
Iteration 96:  X=1.92, Y=-50.77, Z=0.16
Iteration 97:  X=116.96, Y=73.90, Z=0.16
Iteration 98:  X=17.33, Y=3.16, Z=0.16
Iteration 99:  X=-98.49, Y=69.01, Z=0.16
Iteration 100:  X=8.86, Y=-48.54, Z=0.16
Iteration 101:  X=-34.05, Y=-36.54, Z=0.16
Iteration 102:  X=118.73, Y=42.59, Z=0.16
Iteration 103:  X=-58.26, Y=-48.46, Z=0.16
Iteration 104:  X=-119.22, Y=-38.01, Z=0.16
Iteration 105:  X=-58.31, Y=94.33, Z=0.16
Iteration 106:  X=34.83, Y=125.20, Z=0.16
Iteration 107:  X=2.28, Y=-77.19, Z=0.16
Iteration 108:  X=-22.65, Y=-76.99, Z=0.16
Iteration 109:  X=-75.36, Y=120.80, Z=0.16
Iteration 110:  X=-35.12, Y=-3.51, Z=0.16
Iteration 111:  X=53.59, Y=2.60, Z=0.16
Iteration 112:  X=-70.07, Y=-50.29, Z=0.16
Iteration 113:  X=-21.15, Y=6.34, Z=0.16
Iteration 114:  X=-35.99, Y=114.28, Z=0.16
Iteration 115:  X=115.72, Y=88.22, Z=0.16
Iteration 116:  X=-9.41, Y=57.77, Z=0.16
Iteration 117:  X=-96.09, Y=89.86, Z=0.16
Iteration 118:  X=28.71, Y=148.24, Z=0.16
Iteration 119:  X=-113.27, Y=-51.04, Z=0.16
Iteration 120:  X=-88.73, Y=141.80, Z=0.16
Iteration 121:  X=47.56, Y=121.25, Z=0.16
Iteration 122:  X=-93.38, Y=-34.01, Z=0.16
Iteration 123:  X=-114.02, Y=112.60, Z=0.16
Iteration 124:  X=-61.73, Y=-77.30, Z=0.16
Iteration 125:  X=117.60, Y=41.06, Z=0.16
Iteration 126:  X=-12.69, Y=58.42, Z=0.16
Iteration 127:  X=70.50, Y=-50.26, Z=0.16
Iteration 128:  X=77.01, Y=78.55, Z=0.16
Iteration 129:  X=-14.72, Y=122.88, Z=0.16
Iteration 130:  X=54.58, Y=-76.62, Z=0.16
Iteration 131:  X=-121.42, Y=-30.08, Z=0.16
Iteration 132:  X=49.98, Y=-49.02, Z=0.16
Iteration 133:  X=-9.19, Y=79.04, Z=0.16
Iteration 134:  X=23.65, Y=-74.92, Z=0.27
Iteration 135:  X=-89.38, Y=108.44, Z=0.16
Iteration 136:  X=-23.16, Y=56.31, Z=0.16
Iteration 137:  X=24.16, Y=7.00, Z=0.16
Iteration 138:  X=23.55, Y=122.46, Z=0.16
Iteration 139:  X=-17.53, Y=58.25, Z=0.16
Iteration 140:  X=66.21, Y=58.43, Z=0.16
Iteration 141:  X=-8.59, Y=34.92, Z=0.16
Iteration 142:  X=-120.15, Y=-12.68, Z=0.16
Iteration 143:  X=-93.92, Y=-28.61, Z=0.16
Iteration 144:  X=-31.28, Y=56.68, Z=0.16
Iteration 145:  X=46.05, Y=-48.05, Z=0.16
Iteration 146:  X=-93.46, Y=2.65, Z=0.16
Iteration 147:  X=-0.87, Y=-75.36, Z=0.16
Iteration 148:  X=-2.79, Y=150.13, Z=0.16
Iteration 149:  X=-67.16, Y=3.68, Z=0.16
Iteration 150:  X=-120.42, Y=2.32, Z=0.16
Iteration 151:  X=-95.52, Y=138.13, Z=0.16
Iteration 152:  X=115.65, Y=44.29, Z=0.16
Iteration 153:  X=32.43, Y=37.16, Z=0.16
Iteration 154:  X=-118.11, Y=-37.91, Z=0.16
Iteration 155:  X=88.68, Y=37.41, Z=0.16
Iteration 156:  X=111.03, Y=118.70, Z=0.16
Iteration 157:  X=74.14, Y=148.93, Z=0.16
Iteration 158:  X=-1.82, Y=-77.78, Z=0.16
Iteration 159:  X=-122.70, Y=26.02, Z=0.16
Iteration 160:  X=-35.77, Y=54.98, Z=0.16
Iteration 161:  X=51.26, Y=37.33, Z=0.16
Iteration 162:  X=91.69, Y=-17.04, Z=0.16
Iteration 163:  X=-32.11, Y=-49.14, Z=0.16
Iteration 164:  X=10.42, Y=4.43, Z=0.16
Iteration 165:  X=23.86, Y=149.76, Z=0.16
Iteration 166:  X=-35.16, Y=43.78, Z=0.16
Iteration 167:  X=116.39, Y=78.89, Z=0.16
Iteration 168:  X=-18.25, Y=35.12, Z=0.16
Iteration 169:  X=-32.39, Y=-32.92, Z=0.16
Iteration 170:  X=-72.46, Y=-50.94, Z=0.16
Iteration 171:  X=-93.71, Y=-11.32, Z=0.16
Iteration 172:  X=81.05, Y=115.60, Z=0.16
Iteration 173:  X=-15.81, Y=58.72, Z=0.16
Iteration 174:  X=-37.29, Y=149.98, Z=0.16
Iteration 175:  X=102.68, Y=-58.79, Z=0.16
Iteration 176:  X=77.35, Y=122.01, Z=0.16
Iteration 177:  X=43.22, Y=78.58, Z=0.16
Iteration 178:  X=-57.48, Y=93.29, Z=0.16
Iteration 179:  X=-4.58, Y=120.69, Z=0.16
Iteration 180:  X=116.75, Y=107.23, Z=0.16
Iteration 181:  X=-120.64, Y=41.89, Z=0.16
Iteration 182:  X=84.24, Y=-45.13, Z=0.16
Iteration 183:  X=27.17, Y=-49.30, Z=0.16
Iteration 184:  X=115.84, Y=27.37, Z=0.16
Iteration 185:  X=90.45, Y=43.10, Z=0.16
Iteration 186:  X=-2.29, Y=38.19, Z=0.16
Iteration 187:  X=-67.85, Y=-48.95, Z=0.16
Iteration 188:  X=45.13, Y=122.95, Z=0.16
Iteration 189:  X=91.40, Y=143.13, Z=0.16
Iteration 190:  X=-18.81, Y=58.42, Z=0.16
Iteration 191:  X=-22.52, Y=-76.02, Z=0.16
Iteration 192:  X=-60.70, Y=-73.70, Z=0.16
Iteration 193:  X=-17.09, Y=-75.16, Z=0.16
Iteration 194:  X=-105.34, Y=-60.85, Z=0.16
Iteration 195:  X=53.39, Y=37.36, Z=0.16
Iteration 196:  X=-35.43, Y=-41.79, Z=0.16
Iteration 197:  X=-119.91, Y=37.78, Z=0.16
Iteration 198:  X=-1.61, Y=-75.89, Z=0.16
Iteration 199:  X=-59.40, Y=-29.77, Z=0.16
Iteration 200:  X=109.65, Y=-46.68, Z=0.16

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=-124.18, Max=118.73

所有生成点的 Y 坐标范围: Min=-78.77, Max=150.13

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
