日志将保存到: ../maps_100samples/Town03/carla_script_20250305_223800_Town03.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 190:  X=-157.95, Y=98.23, Z=0.17
Iteration 191:  X=-119.27, Y=-6.72, Z=0.16
Iteration 192:  X=-62.70, Y=-213.33, Z=0.16
Iteration 193:  X=121.68, Y=70.87, Z=0.15
Iteration 194:  X=180.80, Y=182.87, Z=2.96
Iteration 195:  X=-157.20, Y=83.19, Z=0.15
Iteration 196:  X=-117.31, Y=-125.60, Z=0.86
Iteration 197:  X=-156.94, Y=-71.02, Z=0.47
Iteration 198:  X=-93.72, Y=39.44, Z=0.46
Iteration 199:  X=126.26, Y=-210.35, Z=0.16
Iteration 200:  X=91.35, Y=-115.19, Z=8.16

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=-209.27, Max=225.74

所有生成点的 Y 坐标范围: Min=-214.73, Max=191.17

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
