日志将保存到: ../maps_100samples/Town05/carla_script_20250305_235814_Town05.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 133:  X=-49.95, Y=139.46, Z=0.22
Iteration 134:  X=23.80, Y=-162.51, Z=0.16
Iteration 135:  X=-73.32, Y=216.94, Z=6.40
Iteration 136:  X=-83.36, Y=10.89, Z=0.16
Iteration 137:  X=-40.64, Y=24.93, Z=0.22
Iteration 138:  X=176.59, Y=-187.97, Z=0.16
Iteration 139:  X=-167.79, Y=156.49, Z=0.22
Iteration 140:  X=-153.06, Y=81.31, Z=0.16
Iteration 141:  X=-226.13, Y=81.12, Z=0.16
Iteration 142:  X=-79.63, Y=139.29, Z=0.22
Iteration 143:  X=24.20, Y=-170.89, Z=0.16
Iteration 144:  X=-158.30, Y=138.48, Z=0.22
Iteration 145:  X=152.04, Y=205.90, Z=0.16
Iteration 146:  X=220.58, Y=28.63, Z=0.16
Iteration 147:  X=-240.94, Y=97.76, Z=0.16
Iteration 148:  X=-80.80, Y=-214.44, Z=9.51
Iteration 149:  X=-76.73, Y=-215.95, Z=9.16
Iteration 150:  X=-67.53, Y=133.63, Z=0.22
Iteration 151:  X=148.56, Y=-206.09, Z=0.16
Iteration 152:  X=-58.82, Y=43.16, Z=0.21
Iteration 153:  X=-106.81, Y=80.11, Z=0.16
Iteration 154:  X=121.08, Y=-213.39, Z=0.16
Iteration 155:  X=-72.43, Y=-123.02, Z=0.22
Iteration 156:  X=37.98, Y=35.18, Z=0.16
Iteration 157:  X=162.39, Y=32.42, Z=0.20
Iteration 158:  X=-110.82, Y=139.15, Z=0.22
Iteration 159:  X=-148.05, Y=10.75, Z=0.16
Iteration 160:  X=-87.22, Y=77.68, Z=0.18
Iteration 161:  X=-176.42, Y=130.94, Z=0.22
Iteration 162:  X=-136.78, Y=31.23, Z=0.16
Iteration 163:  X=162.50, Y=49.01, Z=0.20
Iteration 164:  X=-261.91, Y=-36.75, Z=0.16
Iteration 165:  X=143.97, Y=18.67, Z=0.19
Iteration 166:  X=199.59, Y=-161.99, Z=0.16
Iteration 167:  X=38.46, Y=-30.20, Z=0.16
Iteration 168:  X=155.70, Y=-202.87, Z=0.16
Iteration 169:  X=-59.43, Y=104.31, Z=0.22
Iteration 170:  X=-73.55, Y=-215.90, Z=8.86
Iteration 171:  X=-179.63, Y=100.39, Z=0.22
Iteration 172:  X=39.86, Y=-19.13, Z=0.16
Iteration 173:  X=-58.40, Y=49.63, Z=0.22
Iteration 174:  X=115.98, Y=126.82, Z=0.20
Iteration 175:  X=-115.48, Y=-16.84, Z=0.16
Iteration 176:  X=-138.12, Y=46.89, Z=4.61
Iteration 177:  X=-58.06, Y=-39.04, Z=0.22
Iteration 178:  X=-198.38, Y=123.24, Z=0.22
Iteration 179:  X=-90.52, Y=-8.44, Z=0.16
Iteration 180:  X=-114.03, Y=216.02, Z=8.44
Iteration 181:  X=19.77, Y=176.89, Z=0.16
Iteration 182:  X=-74.33, Y=-124.54, Z=0.22
Iteration 183:  X=-59.73, Y=-66.91, Z=0.22
Iteration 184:  X=205.83, Y=150.28, Z=0.16
Iteration 185:  X=98.86, Y=-80.72, Z=0.16
Iteration 186:  X=92.30, Y=-16.37, Z=0.16
Iteration 187:  X=-64.02, Y=98.57, Z=0.16
Iteration 188:  X=91.90, Y=217.23, Z=0.16
Iteration 189:  X=-95.55, Y=-129.87, Z=0.22
Iteration 190:  X=-211.32, Y=-7.25, Z=0.16
Iteration 191:  X=-218.25, Y=-7.54, Z=10.16
Iteration 192:  X=218.70, Y=-63.69, Z=0.16
Iteration 193:  X=-169.54, Y=79.33, Z=0.16
Iteration 194:  X=-169.65, Y=-148.82, Z=0.22
Iteration 195:  X=93.45, Y=-17.00, Z=0.16
Iteration 196:  X=-92.87, Y=-215.93, Z=10.11
Iteration 197:  X=-200.92, Y=79.00, Z=0.17
Iteration 198:  X=-76.05, Y=-127.92, Z=0.22
Iteration 199:  X=-77.50, Y=216.09, Z=6.86
Iteration 200:  X=219.40, Y=-25.80, Z=0.16

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=-279.14, Max=220.58

所有生成点的 Y 坐标范围: Min=-217.67, Max=217.23

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
