日志将保存到: ../maps_100samples/Town04/carla_script_20250305_235104_Town04.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 181:  X=207.19, Y=-212.08, Z=0.17
Iteration 182:  X=213.60, Y=-164.88, Z=0.35
Iteration 183:  X=95.62, Y=-293.95, Z=0.18
Iteration 184:  X=228.97, Y=-126.88, Z=0.17
Iteration 185:  X=261.44, Y=-230.67, Z=0.17
Iteration 186:  X=274.27, Y=-125.75, Z=0.17
Iteration 187:  X=215.16, Y=-136.67, Z=0.17
Iteration 188:  X=222.96, Y=-128.81, Z=0.17
Iteration 189:  X=263.45, Y=-287.92, Z=0.17
Iteration 190:  X=280.55, Y=-164.99, Z=0.35
Iteration 191:  X=261.56, Y=-136.27, Z=0.17
Iteration 192:  X=68.61, Y=-207.85, Z=0.20
Iteration 193:  X=236.29, Y=-125.75, Z=0.17
Iteration 194:  X=306.41, Y=-142.67, Z=0.17
Iteration 195:  X=173.48, Y=-237.20, Z=0.22
Iteration 196:  X=180.95, Y=-254.22, Z=0.19
Iteration 197:  X=344.44, Y=-147.67, Z=0.17
Iteration 198:  X=195.29, Y=-273.96, Z=0.17
Iteration 199:  X=343.13, Y=-146.33, Z=0.17
Iteration 200:  X=122.45, Y=-309.91, Z=0.18

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=52.55, Max=344.65

所有生成点的 Y 坐标范围: Min=-317.64, Max=-124.41

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
