日志将保存到: ../maps_100samples/Town04/carla_script_20250305_234852_Town04.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 43:  X=-0.63, Y=294.04, Z=0.33
Iteration 44:  X=58.48, Y=196.11, Z=0.33
Iteration 45:  X=14.11, Y=300.63, Z=0.33
Iteration 46:  X=37.83, Y=258.28, Z=0.33
Iteration 47:  X=51.68, Y=114.57, Z=0.33
Iteration 48:  X=129.80, Y=181.70, Z=0.41
Iteration 49:  X=10.94, Y=309.11, Z=0.33
Iteration 50:  X=-6.87, Y=105.73, Z=0.33
Iteration 51:  X=140.75, Y=298.00, Z=0.33
Iteration 52:  X=197.22, Y=236.53, Z=0.33
Iteration 53:  X=151.00, Y=244.46, Z=0.33
Iteration 54:  X=-12.57, Y=116.53, Z=0.33
Iteration 55:  X=38.63, Y=219.27, Z=0.33
Iteration 56:  X=10.69, Y=111.93, Z=0.33
Iteration 57:  X=195.92, Y=208.98, Z=0.33
Iteration 58:  X=-10.87, Y=224.48, Z=0.33
Iteration 59:  X=20.79, Y=102.75, Z=0.33
Iteration 60:  X=20.88, Y=297.96, Z=0.33
Iteration 61:  X=13.69, Y=112.19, Z=0.33
Iteration 62:  X=99.03, Y=298.30, Z=0.33
Iteration 63:  X=-8.05, Y=105.28, Z=0.33
Iteration 64:  X=68.71, Y=243.85, Z=0.33
Iteration 65:  X=16.18, Y=300.60, Z=0.33
Iteration 66:  X=132.91, Y=310.10, Z=0.33
Iteration 67:  X=48.39, Y=225.81, Z=0.33
Iteration 68:  X=165.43, Y=183.12, Z=0.33
Iteration 69:  X=50.98, Y=197.65, Z=0.33
Iteration 70:  X=66.31, Y=195.79, Z=0.33
Iteration 71:  X=37.33, Y=215.67, Z=0.33
Iteration 72:  X=161.50, Y=100.90, Z=0.33
Iteration 73:  X=196.68, Y=121.81, Z=0.33
Iteration 74:  X=186.74, Y=145.60, Z=0.33
Iteration 75:  X=59.97, Y=185.67, Z=0.33
Iteration 76:  X=199.03, Y=153.71, Z=0.33
Iteration 77:  X=129.57, Y=212.56, Z=0.33
Iteration 78:  X=186.27, Y=146.50, Z=0.33
Iteration 79:  X=160.93, Y=113.11, Z=0.33
Iteration 80:  X=-12.36, Y=274.28, Z=0.33
Iteration 81:  X=87.59, Y=181.88, Z=0.33
Iteration 82:  X=185.58, Y=164.01, Z=0.33
Iteration 83:  X=22.88, Y=193.68, Z=0.33
Iteration 84:  X=137.14, Y=311.35, Z=0.33
Iteration 85:  X=184.98, Y=127.83, Z=0.33
Iteration 86:  X=28.37, Y=311.52, Z=0.33
Iteration 87:  X=0.62, Y=201.83, Z=0.33
Iteration 88:  X=167.73, Y=101.46, Z=0.33
Iteration 89:  X=-12.65, Y=197.25, Z=0.33
Iteration 90:  X=51.54, Y=252.74, Z=0.33
Iteration 91:  X=-10.59, Y=225.85, Z=0.33
Iteration 92:  X=81.87, Y=299.05, Z=0.33
Iteration 93:  X=38.94, Y=100.60, Z=0.33
Iteration 94:  X=111.08, Y=101.66, Z=0.33
Iteration 95:  X=0.43, Y=226.87, Z=0.33
Iteration 96:  X=186.46, Y=132.45, Z=0.33
Iteration 97:  X=-0.69, Y=226.68, Z=0.33
Iteration 98:  X=73.93, Y=298.72, Z=0.33
Iteration 99:  X=185.66, Y=173.30, Z=0.33
Iteration 100:  X=141.37, Y=211.64, Z=0.33
Iteration 101:  X=129.26, Y=230.99, Z=0.33
Iteration 102:  X=67.74, Y=233.02, Z=0.33
Iteration 103:  X=185.05, Y=153.81, Z=0.33
Iteration 104:  X=78.01, Y=184.94, Z=0.33
Iteration 105:  X=39.11, Y=253.45, Z=0.33
Iteration 106:  X=49.86, Y=267.19, Z=0.33
Iteration 107:  X=184.74, Y=213.70, Z=0.33
Iteration 108:  X=184.92, Y=142.23, Z=0.33
Iteration 109:  X=187.23, Y=159.66, Z=0.33
Iteration 110:  X=147.08, Y=233.25, Z=0.33
Iteration 111:  X=164.41, Y=193.97, Z=0.33
Iteration 112:  X=-9.86, Y=271.53, Z=0.33
Iteration 113:  X=-12.43, Y=253.25, Z=0.33
Iteration 114:  X=188.29, Y=309.16, Z=0.33
Iteration 115:  X=18.86, Y=183.11, Z=0.33
Iteration 116:  X=186.30, Y=143.85, Z=0.33
Iteration 117:  X=53.61, Y=244.87, Z=0.33
Iteration 118:  X=55.49, Y=184.44, Z=0.33
Iteration 119:  X=-11.70, Y=172.14, Z=0.33
Iteration 120:  X=184.82, Y=278.38, Z=0.33
Iteration 121:  X=146.49, Y=102.45, Z=0.33
Iteration 122:  X=8.51, Y=184.75, Z=0.33
Iteration 123:  X=27.08, Y=184.17, Z=0.33
Iteration 124:  X=-12.60, Y=141.51, Z=0.33
Iteration 125:  X=76.93, Y=245.36, Z=0.33
Iteration 126:  X=-0.66, Y=139.81, Z=0.33
Iteration 127:  X=91.31, Y=183.37, Z=0.33
Iteration 128:  X=-11.76, Y=239.69, Z=0.33
Iteration 129:  X=123.28, Y=234.80, Z=0.33
Iteration 130:  X=115.21, Y=232.84, Z=0.33
Iteration 131:  X=198.36, Y=141.95, Z=0.33
Iteration 132:  X=119.23, Y=246.04, Z=0.33
Iteration 133:  X=56.36, Y=232.88, Z=0.33
Iteration 134:  X=155.07, Y=112.51, Z=0.33
Iteration 135:  X=77.07, Y=234.02, Z=0.33
Iteration 136:  X=157.04, Y=297.82, Z=0.33
Iteration 137:  X=197.45, Y=283.63, Z=0.33
Iteration 138:  X=187.41, Y=138.60, Z=0.33
Iteration 139:  X=-1.16, Y=230.26, Z=0.33
Iteration 140:  X=70.11, Y=195.43, Z=0.33
Iteration 141:  X=94.33, Y=311.98, Z=0.33
Iteration 142:  X=-11.66, Y=182.68, Z=0.33
Iteration 143:  X=69.99, Y=297.86, Z=0.33
Iteration 144:  X=122.32, Y=298.87, Z=0.33
Iteration 145:  X=-12.63, Y=257.53, Z=0.33
Iteration 146:  X=49.41, Y=273.69, Z=0.33
Iteration 147:  X=70.66, Y=183.01, Z=0.33
Iteration 148:  X=1.49, Y=121.52, Z=0.33
Iteration 149:  X=86.76, Y=112.26, Z=0.33
Iteration 150:  X=1.58, Y=118.36, Z=0.33
Iteration 151:  X=196.41, Y=230.95, Z=0.33
Iteration 152:  X=27.03, Y=101.94, Z=0.33
Iteration 153:  X=72.46, Y=309.53, Z=0.33
Iteration 154:  X=10.46, Y=185.44, Z=0.33
Iteration 155:  X=84.42, Y=195.55, Z=0.33
Iteration 156:  X=150.68, Y=100.55, Z=0.33
Iteration 157:  X=93.95, Y=112.49, Z=0.33
Iteration 158:  X=5.66, Y=299.54, Z=0.33
Iteration 159:  X=128.52, Y=227.61, Z=0.33
Iteration 160:  X=-11.08, Y=112.17, Z=0.33
Iteration 161:  X=140.42, Y=222.08, Z=0.33
Iteration 162:  X=128.72, Y=206.44, Z=0.33
Iteration 163:  X=92.91, Y=232.38, Z=0.33
Iteration 164:  X=76.09, Y=308.88, Z=0.33
Iteration 165:  X=139.60, Y=231.69, Z=0.33
Iteration 166:  X=2.57, Y=151.95, Z=0.33
Iteration 167:  X=22.27, Y=195.69, Z=0.33
Iteration 168:  X=75.02, Y=196.09, Z=0.33
Iteration 169:  X=183.64, Y=182.09, Z=0.33
Iteration 170:  X=63.03, Y=114.16, Z=0.33
Iteration 171:  X=121.38, Y=244.60, Z=0.33
Iteration 172:  X=-12.05, Y=113.40, Z=0.33
Iteration 173:  X=113.97, Y=112.31, Z=0.33
Iteration 174:  X=197.81, Y=184.55, Z=0.33
Iteration 175:  X=29.09, Y=113.04, Z=0.33
Iteration 176:  X=186.88, Y=167.20, Z=0.33
Iteration 177:  X=-9.58, Y=135.40, Z=0.30
Iteration 178:  X=59.98, Y=183.83, Z=0.33
Iteration 179:  X=185.33, Y=289.91, Z=0.33
Iteration 180:  X=-9.63, Y=273.17, Z=0.33
Iteration 181:  X=37.76, Y=101.07, Z=0.33
Iteration 182:  X=-0.10, Y=218.67, Z=0.33
Iteration 183:  X=156.88, Y=185.03, Z=0.33
Iteration 184:  X=38.41, Y=209.91, Z=0.33
Iteration 185:  X=-13.16, Y=126.08, Z=0.33
Iteration 186:  X=198.45, Y=180.32, Z=0.33
Iteration 187:  X=196.27, Y=246.22, Z=0.33
Iteration 188:  X=13.22, Y=113.93, Z=0.33
Iteration 189:  X=12.57, Y=103.20, Z=0.33
Iteration 190:  X=60.32, Y=114.27, Z=0.33
Iteration 191:  X=48.71, Y=201.33, Z=0.33
Iteration 192:  X=98.33, Y=111.83, Z=0.33
Iteration 193:  X=198.55, Y=297.63, Z=0.33
Iteration 194:  X=104.82, Y=102.01, Z=0.33
Iteration 195:  X=197.94, Y=155.22, Z=0.33
Iteration 196:  X=76.38, Y=299.57, Z=0.33
Iteration 197:  X=89.63, Y=185.63, Z=0.33
Iteration 198:  X=57.64, Y=299.18, Z=0.33
Iteration 199:  X=69.97, Y=234.78, Z=0.33
Iteration 200:  X=17.01, Y=113.92, Z=0.33

完成所有迭代。请在Carla模拟器视窗中查看红色标记点 (每一次新的位置上方鸟瞰图) **以及坐标文本**。

所有生成点的 X 坐标范围: Min=-13.28, Max=199.03

所有生成点的 Y 坐标范围: Min=100.55, Max=311.98

Spectator 视角已切换到所有红点中心上方的鸟瞰图。

已恢复到异步模式。

程序结束。红色标记点和坐标文本将在 5 秒后消失，Spectator 视角应为最后位置的鸟瞰图。
